state,capital_city,latitude,longitude,population,zone,known_capital,dependency_ratio,rural_residence_percent,road_condition_index_percent_poor,unemployment_percent,population_weight,urbanization_index,infrastructure_quality,economic_proxy,tier,demand_centrality
Jigawa,Dutse,11.76,9.34,21903,North-West,Dutse,1.4,85.2,82.0,4.0,0.0138786801978993,0.1479999999999999,0.18,0.0723272081187395,Tier 3,
Kaduna,Tudun Wada,10.51,7.41,505055,North-West,Kaduna,1.07,68.7,72.0,2.7,0.3200245093069467,0.3129999999999999,0.28,0.3122647055841679,Tier 3,
Kano,Kano,12.0,8.51,855681,North-West,Kano,1.28,70.4,75.0,7.6,0.5421961809075794,0.2959999999999999,0.25,0.4368177085445475,Tier 3,
Katsina,Funtua,11.52,7.31,264691,North-West,Katsina,1.31,81.9,80.0,2.8,0.1677195699338983,0.1809999999999999,0.2,0.1758817419603389,Tier 3,
Kebbi,Birnin Kebbi,12.45,4.2,84202,North-West,Birnin Kebbi,1.24,83.6,78.0,1.6,0.0533539985400867,0.164,0.22,0.106012399124052,Tier 3,
Sokoto,Sokoto,13.05,5.21,315408,North-West,Sokoto,1.2,88.1,85.0,1.2,0.1998560363356178,0.119,0.15,0.1721636218013706,Tier 3,
Zamfara,Jenyau,12.19,6.65,104509,North-West,Gusau,1.22,86.7,80.0,3.1,0.0662213846871324,0.1329999999999999,0.2,0.1029828308122794,Tier 3,
Adamawa,Yola,9.21,12.48,114752,North-East,Yola,0.97,72.1,75.0,3.2,0.0727117887992213,0.2790000000000001,0.25,0.1508770732795328,Tier 3,
Bauchi,Bauchi,10.31,9.84,157274,North-East,Bauchi,1.27,78.4,80.0,4.2,0.0996555517255363,0.2159999999999999,0.2,0.1437933310353217,Tier 3,
Borno,Hausari,11.84,13.16,332873,North-East,Maiduguri,0.24,82.6,85.0,7.3,0.2109226093921083,0.174,0.15,0.1925535656352649,Tier 3,
Gombe,Gombe,10.29,11.17,304814,North-East,Gombe,1.18,76.5,78.0,11.2,0.1931432235694878,0.235,0.22,0.2076359341416926,Tier 3,
Taraba,Jalingo,8.89,11.36,53913,North-East,Jalingo,1.03,77.8,76.0,1.9,0.0341615890749827,0.222,0.24,0.1119969534449896,Tier 3,
Yobe,Damaturu,11.44,11.41,3129,North-East,Damaturu,1.37,84.3,82.0,3.3,0.0019826685996999,0.157,0.18,0.0674396011598199,Tier 3,
Benue,Chigo,7.32,9.02,210069,North-Central,Makurdi,0.93,74.2,68.0,1.6,0.1331087280506103,0.2579999999999999,0.32,0.1923652368303661,Tier 3,
FCT,Abuja,9.25,6.93,938,North-Central,Abuja,0.89,,,14.1,0.0005943570298876,,,,Tier 3,
Kogi,Lokoja,7.8,6.74,53881,North-Central,Lokoja,0.9,67.8,65.0,3.0,0.0341413125025345,0.322,0.35,0.1534847875015207,Tier 3,
Nasarawa,Lafia,8.49,8.52,90348,North-Central,Lafia,1.05,71.3,70.0,0.5,0.0572483677359179,0.287,0.3,0.1510990206415507,Tier 3,
Niger,Bida,9.08,6.01,123383,North-Central,Minna,1.22,75.6,68.0,3.2,0.0781807605742325,0.244,0.32,0.1559084563445394,Tier 3,
Plateau,Jos,9.93,8.89,199663,North-Central,Jos,0.93,69.4,72.0,7.4,0.1265150401476134,0.3059999999999999,0.28,0.194409024088568,Tier 3,
Ekiti,Ado-Ekiti,7.62,5.22,198340,South-West,Ado-Ekiti,0.75,55.3,52.0,5.5,0.1256767306054584,0.447,0.48,0.259156038363275,Tier 3,
Lagos,Ikeja,6.6,3.34,1578176,South-West,Ikeja,0.63,10.5,40.0,5.5,1.0,0.895,0.6,0.91375,Tier 2,
Ogun,Abeokuta,7.16,3.35,401720,South-West,Abeokuta,0.79,38.9,52.0,8.8,0.2545470213715073,0.611,0.48,0.3774782128229044,Tier 3,
Ondo,Ondo,7.09,4.84,261650,South-West,Akure,0.9,52.7,55.0,5.7,0.165792661908431,0.473,0.45,0.2852255971450586,Tier 3,
Oyo,Ibadan,7.38,3.91,488008,South-West,Ibadan,0.92,44.8,48.0,2.0,0.3092227989780607,0.552,0.52,0.4015336793868364,Tier 3,
Abia,Umuahia,5.52,7.49,280265,South-East,Umuahia,0.95,35.2,55.0,18.7,0.1775879242872785,0.648,0.45,0.3360527545723671,Tier 3,
Anambra,Awka,6.21,7.07,130079,South-East,Awka,0.98,28.5,50.0,4.8,0.0824236333590169,0.715,0.5,0.3032041800154101,Tier 3,
Ebonyi,Abakaliki,6.32,8.11,102229,South-East,Abakaliki,1.07,62.4,62.0,3.7,0.0647766789001987,0.376,0.38,0.1898660073401192,Tier 3,
Enugu,Enugu,6.44,7.5,254466,South-East,Enugu,0.98,33.8,48.0,5.9,0.1612405713938116,0.662,0.52,0.3402443428362869,Tier 3,
Imo,Owerri,5.48,7.03,503578,South-East,Owerri,0.97,30.1,50.0,10.9,0.3190886187598848,0.6990000000000001,0.5,0.4412031712559309,Tier 3,
Akwa Ibom,Uyo,5.03,7.93,362830,South-South,Uyo,0.83,42.3,60.0,5.1,0.2299046494180623,0.5770000000000001,0.4,0.3421927896508374,Tier 3,
Bayelsa,Yenagoa,4.93,6.27,24908,South-South,Yenagoa,0.7,65.7,70.0,6.3,0.0157827770793625,0.3429999999999999,0.3,0.1402196662476174,Tier 3,
Cross River,Calabar,4.96,8.33,301227,South-South,Calabar,0.72,58.9,65.0,2.8,0.1908703465266231,0.411,0.35,0.2697722079159738,Tier 3,
Delta,Boji-Boji,6.26,6.21,217502,South-South,Asaba,0.88,48.1,58.0,8.2,0.1378185956445922,0.519,0.42,0.2754411573867553,Tier 3,
Edo,Benin City,6.34,5.63,551760,South-South,Benin City,0.91,41.7,55.0,4.4,0.3496188004379739,0.583,0.45,0.4230212802627843,Tier 3,
Rivers,Port Harcourt,4.78,7.01,517567,South-South,Port Harcourt,0.78,36.2,62.0,13.4,0.3279526491341903,0.638,0.38,0.4132715894805142,Tier 3,
Kwara,Ilorin,8.49664,4.54214,500000,North-Central,Ilorin,0.9845714285714284,61.167647058823526,66.26470588235294,5.588571428571429,0.3168214445030212,0.3883235294117647,0.3373529411764706,0.3377766902312245,Tier 3,
Osun,Oshogbo,7.78267,4.54181,500000,South-West,Oshogbo,0.9845714285714284,61.167647058823526,66.26470588235294,5.58857142857143,0.3168214445030212,0.3883235294117647,0.3373529411764706,0.3377766902312245,Tier 3,
